fname,filtered_sound,mfcc
Bunlabelledtest__101_1305030823364_A.wav,"[-0.00097446 -0.00016594  0.00063088 ...  0.01681353  0.01383709
  0.0107876 ]","[[-5.12751888e+02 -5.05369887e+02 -5.12365158e+02 ... -4.55200443e+02
  -4.51926107e+02 -4.26708327e+02]
 [ 1.28696005e+02  1.35696630e+02  1.25710541e+02 ...  1.92531510e+02
   1.97275031e+02  1.89317597e+02]
 [ 6.59124655e+01  6.54828998e+01  5.58668795e+01 ...  9.23976994e+01
   9.76074640e+01  6.39911550e+01]
 ...
 [-1.03572322e-01  2.13572892e+00  5.00361263e+00 ... -9.94917149e+00
  -8.05629345e+00 -6.89934696e+00]
 [ 3.17998988e+00  2.52980901e+00  5.92279047e+00 ... -3.12122163e+00
  -1.84251018e+00 -3.98229986e+00]
 [ 2.84537884e+00  5.96386185e-01  4.01946684e+00 ... -3.76588645e+00
  -2.36667398e+00 -3.29351380e+00]]"
Bunlabelledtest__101_1305030823364_D.wav,"[-0.00353351 -0.00426912 -0.00495983 ...  0.00325931  0.00257064
  0.00186975]","[[-5.21287989e+02 -5.14740467e+02 -5.11340515e+02 ... -5.13572573e+02
  -5.15849440e+02 -5.22784618e+02]
 [ 1.30173467e+02  1.44852828e+02  1.49352661e+02 ...  1.46757559e+02
   1.43210919e+02  1.35703187e+02]
 [ 5.86397618e+01  7.89586296e+01  8.24136254e+01 ...  8.08095384e+01
   7.70428057e+01  7.44829731e+01]
 ...
 [-1.28956294e+00 -9.10318443e-01 -2.04500298e+00 ...  3.04052198e+00
   4.11497076e+00  1.96381825e+00]
 [ 2.22683787e+00  3.20005103e+00 -2.71539680e-02 ...  5.13260232e+00
   5.86608650e+00  1.57570918e+00]
 [ 5.41489192e+00  4.07779759e+00  7.81785019e-01 ...  4.21998672e+00
   2.29457041e+00 -1.07575678e+00]]"
Bunlabelledtest__101_1305030823364_F.wav,"[ 0.00492765  0.00461017  0.00431708 ... -0.00385531 -0.00392776
 -0.0040407 ]","[[-511.11255751 -515.64158391 -516.51153735 ... -511.89868298
  -509.33066637 -506.65261374]
 [ 141.50526999  155.01969573  157.23827967 ...  163.40640908
   165.45630837  162.69242415]
 [  49.33439126   73.44623116   80.16674198 ...   85.28681971
    83.88631047   74.18193587]
 ...
 [   1.65781357    2.18584936   -0.97747047 ...   -5.49222721
    -7.61302016   -4.10069732]
 [  -1.27093801    2.00038782    0.64189292 ...    2.06688236
     0.72060686   -0.62483318]
 [  -0.63091135    2.54220535    1.23920112 ...    7.6252692
     7.24450875    3.8650337 ]]"
Bunlabelledtest__103_1305031931979_A.wav,"[-0.00421945 -0.00385218 -0.00349716 ... -0.00297189 -0.00308125
 -0.00322971]","[[-5.10367739e+02 -5.17320732e+02 -5.17339171e+02 ... -5.08750537e+02
  -5.08045470e+02 -5.11187178e+02]
 [ 1.70946230e+02  1.87392346e+02  1.92178008e+02 ...  2.02352149e+02
   2.03720479e+02  1.87329789e+02]
 [ 6.55796675e+01  9.17341988e+01  1.01251130e+02 ...  1.06517063e+02
   1.08886360e+02  8.91487745e+01]
 ...
 [ 9.28925463e+00  5.87701499e+00  3.00799220e+00 ...  1.90642012e+00
  -1.20435002e+00 -2.98687641e+00]
 [ 8.08095218e+00  4.13377475e+00  3.17054343e+00 ...  5.36996719e+00
   2.01752563e+00 -2.85696093e+00]
 [ 5.06367917e+00  5.05904371e-01 -3.37515728e-01 ...  3.37205814e+00
   2.08817911e+00  2.33588731e-01]]"
Bunlabelledtest__103_1305031931979_C.wav,[0.02805433 0.02887631 0.02980975 ... 0.00713253 0.00672427 0.00633412],"[[-3.73352144e+02 -4.08967712e+02 -4.34802341e+02 ... -4.44098862e+02
  -4.47764446e+02 -4.56485209e+02]
 [ 1.34684504e+02  1.42383793e+02  1.31555543e+02 ...  1.20832360e+02
   1.14747037e+02  1.03201092e+02]
 [ 4.53280327e+01  6.57640678e+01  8.54996670e+01 ...  8.00905015e+01
   7.30432731e+01  6.39826213e+01]
 ...
 [ 4.23808929e+00  3.77163905e+00  3.86079438e-01 ...  8.97793853e+00
   3.77491799e+00  2.76380153e+00]
 [ 1.24701785e+00  1.56156180e-01 -3.87941978e-01 ...  5.70140645e+00
   2.67941518e+00 -7.19319551e-01]
 [-2.18419792e+00 -1.08513263e+00  2.81597346e+00 ...  6.30424557e+00
   3.63405003e+00 -5.40154255e-01]]"
Bunlabelledtest__105_1305033453095_B.wav,"[ 0.00451417  0.00533942  0.00618773 ... -0.04795367 -0.04194057
 -0.03580345]","[[-430.50904257 -419.55789684 -424.8982661  ... -405.28703624
  -383.60259218 -337.6970963 ]
 [ 142.03867315  155.04975234  148.98566119 ...  173.42734192
   200.85733726  186.10820176]
 [  85.07028924   92.22481319   89.65245001 ...  106.96885114
   125.88651072   68.60921893]
 ...
 [   1.00752773    4.89668581   13.12586459 ...    0.45910854
     2.59088167   10.10513587]
 [  -2.96329576    1.88526935    8.78014231 ...    2.18118549
     1.38751819    6.63463097]
 [  -1.93754853    2.65552526    7.47930237 ...    7.34022285
     5.11596872    3.74174123]]"
Bunlabelledtest__105_1305033453095_D.wav,"[-0.07037268 -0.07159982 -0.07275316 ... -0.03288769 -0.0308691
 -0.0289755 ]","[[-2.95017192e+02 -3.53042788e+02 -4.43722631e+02 ... -3.74937712e+02
  -3.52164467e+02 -3.32243663e+02]
 [ 1.17411271e+02  1.30006745e+02  1.34995103e+02 ...  2.20555508e+02
   2.40072550e+02  1.90798710e+02]
 [ 2.95942664e+01  3.74514830e+01  8.25529421e+01 ...  1.38996559e+02
   1.37852602e+02  8.53815896e+01]
 ...
 [ 9.40857477e+00  1.25373317e+01  8.11870784e+00 ... -1.44372177e+00
  -4.04968815e-02  8.36603941e+00]
 [ 9.38554503e+00  1.09629426e+01  3.23474737e+00 ...  7.12216001e-01
   1.21086406e+00  5.51462601e+00]
 [ 9.74030890e+00  1.00018695e+01  1.42914036e+00 ...  4.47986090e+00
   4.29434393e+00  2.89517222e+00]]"
Bunlabelledtest__106_1306776721273_B.wav,"[ 0.00046447 -0.00074002 -0.0019247  ...  0.02057033  0.01950463
  0.01849037]","[[-424.30607596 -411.49401728 -412.94796677 ... -406.2512825
  -408.85654575 -402.31048608]
 [ 103.22910016  116.18923213  113.37420575 ...  121.88570297
   119.39764577  122.06158036]
 [  74.12225414   75.84747206   71.23468279 ...   76.97122403
    77.22539611   69.12689146]
 ...
 [   6.66814152    4.53343135    4.21478467 ...    3.50937817
     5.01613178    6.96222524]
 [   3.64405866    4.48784877    5.28164144 ...    1.39042562
     3.53614224    6.44066007]
 [   2.8621488     5.78093059    7.8868583  ...    0.8135124
     3.77447213    6.86960174]]"
Bunlabelledtest__106_1306776721273_D.wav,"[-0.00330509  0.00112027  0.00538405 ... -0.01234804 -0.01120693
 -0.01003803]","[[-3.61383102e+02 -3.64519788e+02 -3.94959624e+02 ... -4.18701628e+02
  -4.19285775e+02 -4.16909119e+02]
 [ 1.80162689e+02  1.80666195e+02  1.51519691e+02 ...  1.25866201e+02
   1.25182940e+02  1.25303660e+02]
 [ 8.06822535e+01  8.78399257e+01  8.70079063e+01 ...  7.88805352e+01
   7.82748616e+01  7.34882695e+01]
 ...
 [ 5.60403940e+00  6.72244979e+00  7.05494364e+00 ...  7.38010957e+00
   8.20648883e+00  1.20159596e+01]
 [ 7.84004631e+00  9.68788239e+00  6.51293331e+00 ...  5.88669353e+00
   5.10814074e+00  6.54619696e+00]
 [ 8.08414834e+00  6.37791576e+00  4.81786854e+00 ...  4.32602047e+00
   2.37523055e+00  3.82770075e-01]]"
Bunlabelledtest__107_1305654946865_B.wav,"[-0.00145405 -0.00122273 -0.00103121 ...  0.01428604  0.01145589
  0.00853378]","[[-4.53486343e+02 -4.38992117e+02 -4.36375910e+02 ... -4.34558854e+02
  -4.34035623e+02 -4.22954034e+02]
 [ 1.18285861e+02  1.36439488e+02  1.39448378e+02 ...  1.44350468e+02
   1.41981534e+02  1.44659100e+02]
 [ 7.59280773e+01  8.81995850e+01  8.98197373e+01 ...  9.92266515e+01
   9.12502058e+01  7.39002164e+01]
 ...
 [ 8.27502509e+00  7.47035334e+00  4.62425070e+00 ...  1.23141425e+00
   6.83330609e-01  4.53092834e+00]
 [ 1.47330483e+00 -4.89403259e-01 -2.07403315e+00 ... -3.07338297e+00
  -1.28364524e+00  1.40738680e+00]
 [-3.20175516e-01 -3.11102315e+00 -2.40853886e+00 ... -4.01991591e+00
  -3.20534192e+00 -1.56684039e+00]]"
